id,query,tipo,groundtruth,documento,ruta,pagina,chunks
1,¿Qué tipos de usuario existen en el Panel táctil 1005808 MTPE Machine DAG BR 449 y qué derechos tiene cada uno?,factual tabla,Administrador: posee todos los derechos; Ingeniero: puede modificar parámetros y ejecutar movimientos manuales; Mantenimiento: puede ejecutar movimientos manuales; Personal no autorizado: puede producir y cambiar herramientas. ,1005808 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\02 Manejo\1005808 02 Panel táctil.pdf,17,
2,¿Qué procedimiento debe seguirse para iniciar sesión de usuario en el Panel táctil 1005808 MTPE Machine DAG BR 449?,procedimiento,Se debe cambiar a la pantalla del sistema «Iniciar sesión de usuario» mediante el menú de navegación del panel táctil. ,1005808 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\02 Manejo\1005808 02 Panel táctil.pdf,5,
3,¿Qué restricción existe para el funcionamiento manual según el manual del Panel táctil 1005808 MTPE Machine DAG BR 449?,regla,El funcionamiento manual solo es posible en combinación con un interruptor de llaves encendido. ,1005808 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\02 Manejo\1005808 02 Panel táctil.pdf,29,
4,¿Qué función corresponde al bloque gráfico N.º 004 en el Panel táctil 1005808 MTPE Machine DAG BR 449?,factual,"El bloque gráfico N.º 004 corresponde a “Refrigeración, termorregulación, aire caliente”. ",1005808 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\02 Manejo\1005808 02 Panel táctil.pdf,2,
5,¿Quién es el fabricante del Panel táctil 1005806 Punching machine según la portada del manual?,factual,"El fabricante es 3CON Anlagenbau GmbH, Kleinfeld 16, 6341 Ebbs / Austria.",1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,1,
6,¿Qué funciones puede realizar el usuario con rol “Ingeniero” en el Panel táctil 1005806 Punching machine?,factual tabla,El Ingeniero puede modificar parámetros y ejecutar movimientos manuales.,1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,17,
7,¿Qué procedimiento debe cumplirse para utilizar el temporizador (bloque gráfico 003) en el Panel táctil 1005806 Punching machine?,procedimiento,"Para utilizar el temporizador, el equipo debe apagarse y confirmarse el conjunto de paradas de emergencia, además debe seleccionarse el tiempo de comienzo deseado (hora:minutos).",1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,12,
8,¿Qué condición debe cumplirse para poder ejecutar el accionamiento manual de los actores (bloque gráfico 013) en el Panel táctil 1005806 Punching machine?,regla,"Deben estar activados los dispositivos de seguridad, el modo de funcionamiento manual debe estar activado y el desbloqueo de los actuadores debe estar disponible.",1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,24,
9,¿Qué normativa regula las mediciones realizadas en la MTPE Machine DAG BR 449 según el informe DGUV?,factual,"Las mediciones se realizaron según la DGUV Vorschrift 3 y las normas DIN VDE 0413 Teil 4, DIN VDE 0100 Teil 600, DIN VDE 0100 Teil 610 y DIN VDE 0100-410.",1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,1.2,
10,¿Qué procedimiento de medición de aislamiento se aplica en la MTPE Machine DAG BR 449 y cuál es la tensión de prueba utilizada?,procedimiento,"Se realiza una medición de aislamiento con una tensión de prueba de 500V y se exige para Schutzklasse I >0,3MΩ (con elementos calefactores), >1MΩ (sin elementos calefactores) y >2MΩ para partes conductoras accesibles sin conexión SL.",1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,8,
